"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-01-31",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-02-02",,,,,"11.2",,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-02-03",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-02-06",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-02-07",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-02-21",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-03-26",,,,,"9.9",,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-03-28",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-03-29",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-04-07",,,,,"4.3",,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-04-08",,,,,"4.3",,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-04-09",,,,,"3.6",,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-04-10",,,,,"2.0",,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-04-11",,,,,"0.0","0.0",,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2019-04-12",,,,,"4.3",,,,,,,,,,
