"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40171993.2","98770365.8","131081597.8","352752616.2","355229891.1","372555169.2","387633151.2","375643371.2","334840274.3","300161589.6","276984408.9","284853905.2","274596496.6","",
"Angola","AGO","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","374707057.4","355705668.9","343098130.6","371160687.2","405682628","423985126.3","390203038.9","410714177","431421881.2","420506996.4","787056610.5","1302262652.3","1605921015.9","1739653005.5","1478598084","914031048.1","532051033.5","395880987.1","388801462.9","1374114587.4","",
"Albania","ALB","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13321000","29662027.2","54196929.5","64519612.4","54212531.1","54973840.3","64445534.6","144308798.7","148425240.2","141638824.6","144218235.1","159415248","169099897.6","158243429","162459042.7","163478853.7","152026589.8","144309407.5","129370620.5","117241292.8","107036119.1","96755520.4","150857341.2","243583619.4","387083691.6","488777110.1","470321203.4","",
"Andorra","AND","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","188911800","209913600","78361600","292780363","529318129.7","418467595","0","0","0","0","0","1173220000","1098430000","2312290000","2740980000","3853415363.8","3677792717.2","3099862948.7","3083195865.3","2483115001.4","2313851375","3519667710","4211220402.2","6130863050.9","6292570603.8","5868261813.9","5442162800.7","4914919735.8","5470438316.2","14376331416.7","14772334953.9","15995776074","14584967621.2","9967870477.7","478955828","503104192.5","490375759.9","3166796444.9","3110922139.6","3101306749.4","3104639815.3","3110861538.4","2926654152.4","2799230029.2","2715600373.2","2876808116.4","30922512047.7","",
"Armenia","ARM","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24634968","70236653","116474762.4","132057839.8","190440286.1","321997230.2","290095073","283191109.6","314425243.5","345387958.3","354276770.7","302158624.8","296042841","296948979.4","270293755.8","724646923.3","876270384.8","962546214.6","911323874.5","720311374.9","569572124.1","536256724.1","527767826.1","529508773.4","450596997.3","",
"Samoa Americana","ASM","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaiyán","AZE","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100873212.2","174970976.3","266787194.4","321227971.7","618051142.8","535896290","488207206.5","487639730.2","487459411.6","446885181.2","383127572.2","365276173","345670553.7","315789574.8","302558244.1","282350979.1","264679350.5","251858492.3","242453318.8","224367063.1","212814870.5","206456824.1","218712839","213592206","",
"Burundi","BDI","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","7670000","5797638","0","0","0","1404840","1405814.3","3951451.6","10259471.2","30472477.6","35689983.4","32712409.3","30871132.4","23778095.2","16037215.8","14541982.4","22116679.2","20546452.8","32467703.9","40133132.2","42625738.9","48863490.7","62414000","58243062.6","55668458.3","47798086.3","37641479.7","27523349.9","19667363.5","30902062.2","24850402.5","19643946.6","31706725.4","48958253.6","62271042","77748000.2","103347766.8","119857221.7","138003571.2","206685011.5","223366699.6","240746434.9","248682087.5","254214708.4","238349528.3","217599796.2","193649392.2","188076863.4","166351188.8","",
"Bélgica","BEL","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","7019432.5","7097774","16140313.6","14786947.8","14013909.4","13064889.1","11175374.2","11338989.7","9529951.2","7464988.9","3977889.2","10201824.1","17881413.5","22386230.4","21518750","42992426.5","71231918.6","84138307.6","99132964.4","94906242.1","93532619","105058775","96163878.4","88645964","86048099.4","87100131.5","79900811.5","66245235.2","16802643.6","19040432.3","36934134.3","131587397.8","145620815.4","177478945.3","209606884.8","225417698.7","220268379.6","202341523.1","186958661.8","226384650.1","244566525.1","",
"Burkina Faso","BFA","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","5553793.8","10804740.7","14705477.3","13477492.8","12772910.7","12122634.1","10734279.7","10176861.3","8238252","5965465.3","2555484.3","584801.2","69710.3","9040317.9","8690000","20823168.9","47941472.5","75097475.4","81270624.9","92442511.7","112115799.4","133598747.1","124397938.1","128327213.8","139286902.6","138635057.1","129295847.6","116984320.2","49087067.6","52352102.3","68799240.1","200602284.9","217415936","232851989","301227757.8","303918120.7","282948246.5","282957751.6","286054603.4","284059238.3","268945710.4","",
"Bangladesh","BGD","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","67856000","75399000","164690370.8","202238425","275318855.1","253778428","299211779.3","344567421.4","424168205.3","464338562.8","547383038","565334154.9","462280758.9","519866808.1","538776788","840798640.8","839548587.5","718556404.8","625539334","726998910.2","732446000","682315906","669149963.4","621529717","516487921","372299890.4","421607840.8","382495194","277106807.6","207825440.2","134671332.2","143574421.4","303801369.2","375756512.3","547377444.4","574975542.8","758159400.8","1474663255.1","1402905708.8","1270812046.2","1212874230.3","1496419520","1470003192.6","1612749988.8","1546470180.5","1625254742","1536342079.1","",
"Bulgaria","BGR","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413716132.6","589737500","631700221.8","940744828.3","716668050.7","585607783.7","941803456.4","1115532914.2","2088438100.2","2117878427.8","1877394557.8","1879708564.2","2095263224.2","2132016600","1533190272.2","1259947992","965336223.8","940913415.9","957663625.8","940766805.7","937859037.7","938866982.5","940748479.4","885043257.6","846509199.5","821218933.1","869969423.8","849601190.5","",
"Bahrein","BHR","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28211547.8","29983858.2","48263357.7","44609834","40882273.8","76793958","122017854.3","131478279.3","136784066.6","167058160.2","164351628.4","140554008.4","91232093.5","51121395.5","34735873.5","31548198.3","538526947.6","768607756","766232105.6","887905154.4","848018283.4","892126489.7","799975000.4","770391160.1","591860218.3","466290689.4","",
"Belarús","BLR","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96286552.6","102335481.8","282730400.1","273499997.4","256627342.2","242557109.7","684039169.3","594476894.3","544040401.3","556771810.3","573834923.4","581579849","526891208.2","554588904.6","582550596","567812185.7","3449281044.1","4062846436.5","4050288792.1","3587945240.6","1931909331.7","613404421.8","510841050.1","495579188.5","524998540.3","512706967.2","",
"Belice","BLZ","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","3770000","4710000","10480000","11670000","11384746.5","7787565.9","3312997.4","421107.4","0","0","0","0","0","0","0","0","24560043.1","23314603.8","22488247.1","24327597.6","26590326.1","27789957","25575721.8","26920117.2","28277396.5","27561984.1","35420787.6","34795830.5","34688281.9","32017509.4","28462672.7","25925006.1","24796252.6","24055441","25483458","24886824.3","",
"Bermudas","BMU","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","6080000","7165620","8555316","21775520","17533408","16307851","0","0","39521437.4","39962522.9","126338992.8","113287629.6","125987354.5","127106665.1","96096129.1","82211849.9","192346754.4","185706850","209010086.9","251790427.7","257044786.1","244796647.4","249077125","220509941.1","263552551.5","267762932.2","276121398.6","248140560","264183043","283651143.6","254673303.1","240714064.2","231620062.9","318333409.2","348459724.7","281990683.2","54704497.2","42197415.8","41129829.8","257306771.9","252766904.2","251985639.9","252256456.3","252761980.2","237794634.1","227441250.6","220646227.2","233744575.8","228272011","",
"Brasil","BRA","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","550200000","2644300000","4185370000","4619300000","4501170000","3976342252.8","3333055328.3","2422469977.6","1820549548.8","1237526548.8","799423625","303585594.1","186130869.1","141553984.3","67607128.7","31448318","4825009156.9","9318882826.6","2235037872.2","8787813968.2","21314976011.2","28850328959.5","25586391068.6","512636270.9","539583148","566788267.5","552448640.9","4526043027.6","4446186455.1","4432443964.7","4437207643.1","4446099842.8","4182827477.2","4000710596.9","3881185567.7","4111586613.7","4015323741.5","",
"Barbados","BRB","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhután","BTN","Uso de créditos del FMI (DOD, US$ a precios actuales)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8220596.2","7803729.9","7527136.6","8142793.4","8900160.8","9301694.4","8560558.4","9010546.6","9464847.3","9225388.6","9389619.7","9223951.2","9195441.3","9205323.9","9223771.5","8676923.1","8299137","8051192.4","8529139.9","8329450.7","",
