ID,Status Bancario,Duracion del Credito,Historial Crediticio,Proposito del Credito,Monto Solicitado,Ahorro,Antiguedad Empleo,Tasa de pago,Sexo y Estado Civil,Deudores o Avales,Tiempo de Residencia,Propiedad,Edad,Otros pagos,Alojamiento,Credito Otorgados,Tipo de Empleo,Personas Responsables,Telefono,Extranjero
1,... <0 DM,6,critical account,radio/television,1169,unknown/ no savings account,.. >= 7 years,4,single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <200 DM,48,existing credits paid back duly till now,radio/television,5951,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes
3,no checking account,12,critical account,education,2096,... <100 DM,4<= ... < 7 years,2,single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes
4,... <0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... <100 DM,4<= ... < 7 years,2,single,guarantor,4,building society savings agreement,45,none,for free,1,skilled employee / official,2,none,yes
5,... <0 DM,24,delay in paying off in the past,car (new),4870,... <100 DM,1<= ... < 4 years,3,single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes
6,no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1<= ... < 4 years,2,single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes
7,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,.. >= 7 years,3,single,none,4,building society savings agreement,53,none,own,1,skilled employee / official,1,none,yes
8,0 <= ... <200 DM,36,existing credits paid back duly till now,car (used),6948,... <100 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",35,none,rent,1,management/ self-employed,1,"yes, registered under the customers name",yes
9,no checking account,12,existing credits paid back duly till now,radio/television,3059,.. >= 1000 DM,4<= ... < 7 years,2,divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes
10,0 <= ... <200 DM,30,critical account,car (new),5234,... <100 DM,unemployed,4,married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed,1,none,yes
11,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),1295,... <100 DM,... < 1 year,3,divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes
