objeto     X1         X2    Clase 
   1    -4.6418    -3.2851   -1
   2    -5.6744    -2.2907   -1
   3    -3.2067    -2.2863   -1
   4    -4.8231    -1.9277   -1
   5    -4.7219    -1.6998   -1
   6    -3.5093    -2.6194   -1
   7    -1.7705    -2.5258   -1
   8    -3.5591    -2.1184   -1
   9    -2.1947    -4.6521   -1
  10    -2.7475    -3.5523   -1
  11    -2.5850    -5.3901   -1
  12     0.0375    -6.2293   -1
  13    -2.5893    -5.0597   -1
  14    -3.3121    -1.0915   -1
  15    -3.0571    -5.3768   -1
  16    -3.7138    -1.0074   -1
  17    -4.9763    -1.5510   -1
  18    -3.1185    -5.1938   -1
  19    -1.9549    -5.6708   -1
  20    -3.4162    -3.2013   -1
  21    -2.1379    -2.3017   -1
  22    -4.2215    -1.2540   -1
  23    -3.0952    -1.6017   -1
  24    -2.6450    -3.6222   -1
  25    -4.7718    -2.4115   -1
  26    -0.4127    -5.3585   -1
  27    -2.1635    -3.4666   -1
  28    -2.1860    -0.3992   -1
  29    -2.2255    -3.5627   -1
  30    -2.0745    -3.2555   -1
  31    -3.5628     0.8982   -1
  32    -3.0372    -2.7310   -1
  33    -3.7993    -2.9459   -1
  34    -2.3347    -3.2469   -1
  35    -2.3859    -3.4433   -1
  36    -1.5462    -3.2082   -1
  37    -1.4274    -1.1809   -1
  38    -3.4659    -2.8006   -1
  39    -5.0223    -5.1214   -1
  40    -1.3121    -5.5634   -1
  41    -6.0001    -0.4936   -1
  42    -3.7762    -0.5483   -1
  43    -3.5265    -2.4986   -1
  44    -3.8549    -2.8389   -1
  45    -3.4530    -1.3724   -1
  46    -3.3520    -2.8430   -1
  47    -4.3507    -0.9024   -1
  48    -5.3651    -2.2625   -1
  49    -4.4048    -1.8926   -1
  50    -3.5679    -2.5353   -1
  51    -1.2149    -2.8192   -1
  52    -2.7626    -5.1727   -1
  53    -2.8943    -5.1427   -1
  54    -2.8313    -2.9008   -1
  55    -2.4281    -2.2908   -1
  56    -2.1572    -4.3416   -1
  57    -0.9196    -4.4719   -1
  58    -0.5595    -6.7328   -1
  59    -2.8874    -1.3326   -1
  60    -4.3342    -3.5855   -1
  61    -1.7642    -4.6471   -1
  62    -1.1793    -3.4090   -1
  63    -4.2258    -2.8966   -1
  64    -3.5887    -3.7509   -1
  65    -4.2684     0.5136   -1
  66    -5.1082    -1.5723   -1
  67    -4.8760    -2.8986   -1
  68    -3.1861    -1.3393   -1
  69    -2.7453    -3.4723   -1
  70    -4.2479    -3.9047   -1
  71    -3.4730    -4.3801   -1
  72    -2.8215    -3.2893   -1
  73    -3.2840    -1.0145   -1
  74    -6.3899    -1.1847   -1
  75    -4.0279    -1.9471   -1
  76    -2.6383    -4.8039   -1
  77    -3.5023    -2.4091   -1
  78    -2.9774    -3.7103   -1
  79    -1.8670    -4.1007   -1
  80    -1.6675    -3.0798   -1
  81     2.6989     1.4378    1
  82     2.3803     3.2659    1
  83     3.9523     4.7007    1
  84     4.3106     1.1505    1
  85     3.1095     3.8694    1
  86     2.5565     3.6369    1
  87     3.5073     3.4724    1
  88     3.8865     1.4431    1
  89     4.4349    -0.2263    1
  90     3.8565     0.5476    1
  91     2.5308     4.4908    1
  92     2.5828     3.3496    1
  93     3.3545     3.4489    1
  94     3.1877     2.7009    1
  95     2.8762     2.5251    1
  96     1.1095     6.3891    1
  97     2.0415     2.5295    1
  98     4.3334     5.7259    1
  99     2.8053     2.5743    1
 100     1.8088     2.3234    1
 101     3.4341     3.9534    1
 102     4.7074     3.1837    1
 103     5.1980     3.1873    1
 104     4.0651     2.7358    1
 105     2.9185     1.8980    1
 106     3.4217     0.8901    1
 107     3.0467     1.0891    1
 108     2.8644     3.5373    1
 109     3.0387     5.1996    1
 110     3.1642     2.1160    1
 111     4.4477     2.0844    1
 112     1.2691     2.9556    1
 113     3.5231     2.4354    1
 114     2.1667     3.6505    1
 115     2.5725     5.1326    1
 116     4.2286     1.5777    1
 117     4.5238     4.3282    1
 118     2.8723     4.3718    1
 119     4.4305     2.6556    1
 120     2.5928     2.9654    1
 121     2.3725     3.3023    1
 122     4.3435     2.8226    1
 123     4.3961     3.2655    1
 124     2.1184     4.5217    1
 125     4.0634     0.6599    1
 126     1.7983     4.4793    1
 127     2.1392     3.1385    1
 128     1.3590     3.0982    1
 129     1.2723     4.5988    1
 130     2.7162     2.2593    1
 131     2.5643     4.8667    1
 132     3.3614     0.5266    1
 133     2.2516     5.4086    1
 134     2.3748     3.0068    1
 135     3.0470     5.7527    1
 136     3.1816     3.2297    1
 137     3.0993     4.3177    1
 138     4.4296     2.8007    1
 139     2.7776     4.4435    1
 140     1.6561     2.3984    1
 141     4.8610     1.8844    1
 142     4.9583     2.9322    1
 143     3.1266     1.4285    1
 144     2.0450     0.4645    1
 145     2.9422     2.7830    1
 146     2.9712     6.5376    1
 147     2.4700     1.4847    1
 148     2.9640     2.4079    1
 149     1.3372     5.4726    1
 150     3.3714     0.0420    1
 151     3.9190     3.3152    1
 152     2.7238     3.7767    1
 153     3.4942    -1.2642    1
 154     4.2091     2.8349    1
 155     4.9559     2.9549    1
 156     3.7654     0.7262    1
 157     1.8142     3.1645    1
 158     3.1445     2.9073    1
 159     2.2746     2.8815    1
 160     5.3619     2.6464    1
